vol-l3i3,energy-l3i3,vol-l3i5,energy-l3i5,vol-l4i3,energy-l4i3
13.548420516610657,-5.6990180015563965,13.535274924726783,-5.684615135192871,13.518625165272775,-5.679648399353027
13.9807848073294,-5.829765319824219,13.967219706433088,-5.8152313232421875,13.950038611136058,-5.812539100646973
14.422251171490416,-5.926405906677246,14.40825773013578,-5.907878875732422,14.390534113386787,-5.909323692321777
14.872914422358726,-5.991231441497803,14.858483717105644,-5.968936443328857,14.840206276779023,-5.974058628082275
15.33286937319936,-6.027434825897217,15.317992388613467,-6.003306865692139,15.299149706066787,-6.010429382324219
15.802210837277332,-6.03868293762207,15.786878465930062,-6.014307975769043,15.767459006004115,-6.021766185760498
16.281033627857678,-6.028558731079102,16.265236670326207,-6.004326820373535,16.245228781345048,-6.011191368103027
16.769432558205406,-6.000097751617432,16.75316172307271,-5.975522994995117,16.73255363684362,-5.981678009033203
17.267502441585552,-5.955541133880615,17.250748345440357,-5.930292129516602,17.229528177253854,-5.935975551605225
17.77533809126313,-5.896141052246094,17.758091258699952,-5.871397972106934,17.736247007329812,-5.876458168029785
18.293034320503182,-5.823564529418945,18.275285184122296,-5.801182746887207,18.25280473182552,-5.805149555206299
