,ratio,vol-fcc,energy-fcc,vol-hcp,energy-hcp,energy-fcc-rel,energy-hcp-rel
0,95,13.29,-5.68550639,13.42,-5.64122338,0.39542750000000026,0.4397105100000003
1,96,13.71,-5.83200679,13.85,-5.7827811,0.2489270999999995,0.2981527899999996
2,97,14.14,-5.9403917,14.285,-5.88722789,0.14054218999999968,0.1937059999999997
3,98,14.59,-6.01560782,14.73,-5.959124895,0.06532607000000024,0.12180899499999942
4,99,15.04,-6.06127613,15.185,-6.00181687,0.019657759999999413,0.07911701999999998
5,100,15.5,-6.08093389,15.65,-6.0192317,0.0,0.0617021900000001
6,101,15.97,-6.07774213,16.125,-6.014154805,0.003191759999999988,0.0667790849999994
7,102,16.45,-6.05464007,16.61,-5.989664065,0.026293820000000245,0.09126982499999947
8,103,16.93,-6.0144813,17.105,-5.94802092,0.06645258999999992,0.13291296999999958
9,104,17.43,-5.95906019,17.605,-5.891832665,0.12187370000000008,0.18910122499999993
10,105,17.94,-5.89074903,18.12,-5.822952825,0.19018485999999957,0.25798106500000006
