,vol-l3i3,energy-l3i3,vol-l3i5,energy-l3i5,vol-l4i3,energy-l4i3,energy-l3i3-rel,energy-l4i3-rel,energy-l3i5-rel
0,13.548420516610657,-5.6990180015563965,13.535274924726783,-5.684615135192871,13.518625165272775,-5.679648399353027,0.38191588844360336,0.4012854906469725,0.39631875480712875
1,13.9807848073294,-5.829765319824219,13.967219706433088,-5.815231323242188,13.950038611136058,-5.812539100646973,0.2511685701757811,0.2683947893530272,0.26570256675781145
2,14.422251171490416,-5.926405906677246,14.40825773013578,-5.907878875732422,14.390534113386789,-5.909323692321777,0.15452798332275375,0.1716101976782225,0.17305501426757797
3,14.872914422358726,-5.991231441497803,14.858483717105644,-5.968936443328857,14.840206276779025,-5.974058628082275,0.08970244850219711,0.10687526191772445,0.11199744667114242
4,15.33286937319936,-6.027434825897217,15.317992388613469,-6.003306865692139,15.299149706066787,-6.010429382324219,0.053499064102783045,0.07050450767578109,0.07762702430786117
5,15.802210837277332,-6.03868293762207,15.786878465930062,-6.014307975769043,15.767459006004117,-6.021766185760498,0.04225095237792953,0.059167704239501795,0.06662591423095687
6,16.281033627857678,-6.028558731079102,16.265236670326207,-6.004326820373535,16.245228781345048,-6.011191368103027,0.05237515892089828,0.0697425218969725,0.07660706962646469
7,16.769432558205406,-6.000097751617432,16.75316172307271,-5.975522994995117,16.73255363684362,-5.981678009033203,0.0808361383825682,0.09925588096679672,0.10541089500488265
8,17.267502441585552,-5.955541133880615,17.250748345440357,-5.930292129516602,17.229528177253854,-5.935975551605225,0.1253927561193846,0.14495833839477523,0.15064176048339828
9,17.77533809126313,-5.896141052246094,17.758091258699952,-5.871397972106934,17.736247007329812,-5.876458168029785,0.1847928377539061,0.20447572197021469,0.20953591789306625
10,18.293034320503185,-5.823564529418945,18.275285184122296,-5.801182746887207,18.25280473182552,-5.805149555206299,0.25736936058105453,0.275784334793701,0.2797511431127928
